DGRP,sex,abs_volume,h_ratio
228,female,0.01063415,0.009527276
332,female,0.01522101,0.012051698
228,male,0.01096186,0.012418286
390,female,0.01553118,0.012577648
332,male,0.01291632,0.013224504
320,female,0.01594376,0.013539425
737,female,0.015415439,0.014040617
900,female,0.017301728,0.014237154
395,female,0.016329137,0.014337374
732,female,0.015346196,0.014381983
584,female,0.01694621,0.014564489
59,male,0.015402682,0.014585977
100,male,0.01415481,0.014978704
335,female,0.01592112,0.015141066
385,female,0.01640068,0.015225244
409,female,0.018145609,0.01539887
486,male,0.015654284,0.015797738
208,female,0.01667873,0.015991396
796,female,0.020789721,0.016141476
900,male,0.018220734,0.01623299
820,female,0.019311124,0.016252972
306,female,0.01855499,0.016340414
350,male,0.01917012,0.016405958
406,female,0.01674096,0.01666511
354,female,0.01873408,0.016683426
105,female,0.015773041,0.016905572
335,male,0.0177087,0.017150287
703,male,0.017763105,0.01716881
195,male,0.01825326,0.017271551
820,male,0.019299086,0.017346285
377,male,0.018917085,0.017481395
584,male,0.019059271,0.017494073
595,male,0.019300775,0.017588327
362,female,0.017583999,0.017804595
786,female,0.018789129,0.017887721
859,female,0.020491695,0.017916158
787,female,0.020535676,0.017958307
350,female,0.02026866,0.018047356
732,male,0.016771433,0.018079412
386,female,0.01858974,0.018079953
317,male,0.0187123,0.018103701
406,male,0.01658767,0.018200746
317,female,0.02132422,0.018298295
486,female,0.020144297,0.018315697
517,male,0.021182609,0.018326817
843,male,0.021048688,0.018335962
105,male,0.015468871,0.018339947
787,male,0.016503303,0.01836107
309,female,0.01702781,0.018390557
304,male,0.01923304,0.018395668
362,male,0.019228766,0.01848462
59,female,0.021924613,0.018636317
373,female,0.01942291,0.018663132
256,female,0.01522535,0.018885073
395,male,0.018976734,0.019204092
100,female,0.018232495,0.01921974
437,female,0.01989571,0.019245377
850_2,male,0.021595225,0.0193704
850,male,0.021624079,0.019396282
31,male,0.01965287,0.019431633
737,male,0.018805299,0.019528451
75,male,0.018564621,0.019572745
32,male,0.021044304,0.019648485
309,male,0.01782592,0.019711728
304,female,0.01875431,0.019760547
75,female,0.022067346,0.019831087
377,female,0.021875752,0.019893985
739,male,0.020473117,0.019925581
306,male,0.02083244,0.019986961
705,male,0.020473333,0.020193404
802,male,0.01880512,0.020200045
385,male,0.01939912,0.020247196
595,female,0.018806341,0.02057907
439,female,0.019725716,0.020659732
365,male,0.022015028,0.020705186
360,female,0.02195981,0.020758749
208,male,0.01917501,0.020829242
832,female,0.022466163,0.020876164
879,male,0.01766871,0.020926133
786,male,0.021380383,0.021185209
373,male,0.0192665,0.021201833
91,male,0.020576927,0.021292376
32,female,0.020505565,0.021430592
390,male,0.01745584,0.021484217
321,male,0.0234509,0.021735043
853,female,0.023339581,0.02180525
437,male,0.01770601,0.022200612
354,male,0.01979841,0.022556194
853,male,0.019990145,0.022626579
439,male,0.023933837,0.022730553
705,female,0.021448979,0.022732686
365,female,0.028210481,0.022953175
405,male,0.01948407,0.023193804
26,female,0.025921672,0.023202377
517,female,0.024463845,0.023545562
359,male,0.024699743,0.023649666
859,male,0.022471769,0.023718279
439,male,0.025828499,0.02452996
360,male,0.02141071,0.024539944
101,female,0.01675648,0.024706913
26,male,0.023203072,0.025066991
796,male,0.022706158,0.025121253
843,female,0.023252336,0.025175085
176,male,0.027485538,0.026082913
832,male,0.027205658,0.026116557
136,female,0.01747733,0.026302274
48,male,0.01445417,0.026508377
405,female,0.022453443,0.027143463
91,female,0.029890301,0.027458511
359,female,0.02863632,0.028058225
21,female,0.01782354,0.028749629
176,female,0.031885324,0.028915665
131,male,0.01807417,0.029236344
153,female,0.01919625,0.029363614
48,female,0.02093661,0.029364192
850,female,0.033936042,0.029802427
21,male,0.01843451,0.029895174
26,male,0.01661247,0.029966021
181,female,0.01773386,0.030214254
790,female,0.036297039,0.030948004
93,female,0.02037355,0.031323903
790,male,0.031894487,0.03189611
26,female,0.01991745,0.03202251
195,female,0.019900453,0.032726966
31,female,0.02051961,0.034059531
